Collection,DocumentId,Field,OriginalUrl,Error
"products_v2","6a23eb71e3922eaccd8e6a35","documents.0.url","https://media.camozzi.com/pdf/ENG.1.8.5.pdf","HTTP 403 Forbidden"
"products_v2","6a23ebd6e3922eaccd8e6cc0","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ebd6e3922eaccd8e6cc0","documents.0.url","https://drive.google.com/file/d/11TRifq-ppzMG1p-xyXDT5Q6VkgLQ51eV/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebd6e3922eaccd8e6cc0","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebd6e3922eaccd8e6cc0","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebd6e3922eaccd8e6cc0","documents.3.url","https://drive.google.com/file/d/1KeHaudLMpIFiP7rXEG_Zprm_vJqr-HMm/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebd8e3922eaccd8e6cc8","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ebd8e3922eaccd8e6cc8","documents.0.url","https://drive.google.com/file/d/1KzOhO4lTFXceXTnxuH-TbXKbKpmMdgtE/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebd8e3922eaccd8e6cc8","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebd8e3922eaccd8e6cc8","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebd8e3922eaccd8e6cc8","documents.3.url","https://drive.google.com/file/d/1DCqldlvsbjgvKHV5e-cjh_Xs6ZWQOfIV/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebdce3922eaccd8e6cea","images.main.url","https://aptghana.com/api/image/tramec-tension-arm.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ebdee3922eaccd8e6cf2","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ebdee3922eaccd8e6cf2","documents.0.url","https://drive.google.com/file/d/1FTsjcEPMAwoXzKG78RWInYbkYx8xdsD9/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebdee3922eaccd8e6cf2","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebdee3922eaccd8e6cf2","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebdee3922eaccd8e6cf2","documents.3.url","https://drive.google.com/file/d/16aKpe-16xbtbfxyuMwRTZtruFOpHQ2Yb/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebdfe3922eaccd8e6cfa","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ebdfe3922eaccd8e6cfa","documents.0.url","https://drive.google.com/file/d/1Yxb6h_XEGubWVrGPR7l4sJgqHsmgAofE/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebdfe3922eaccd8e6cfa","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebdfe3922eaccd8e6cfa","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebdfe3922eaccd8e6cfa","documents.3.url","https://drive.google.com/file/d/1m9OYOEphv_1BU3mcTKb1A5gFwLVeq25f/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebe6e3922eaccd8e6d2a","documents.0.url","https://media.camozzi.com/pdf/MX-FILTER-ENG.pdf","HTTP 403 Forbidden"
"products_v2","6a23ebeae3922eaccd8e6d44","images.main.url","https://aptghana.com/api/image/tramec-tension-arm.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ebebe3922eaccd8e6d4c","images.main.url","https://aptghana.com/api/image/HELICAL-BEVEL-GEARED-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ebebe3922eaccd8e6d4c","documents.0.url","https://drive.google.com/file/d/1PUlracapd-yJs3z0lGH9Sa5zkiE9TydK/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebebe3922eaccd8e6d4c","documents.1.url","https://drive.google.com/file/d/1VUb0_saEF8oc2iK8SggeIZEhhhYH72i9/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebebe3922eaccd8e6d4c","documents.2.url","https://drive.google.com/file/d/1h74gAOlcXdU6j8Czv6-djp37K7uvZL-K/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebeee3922eaccd8e6d5d","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ebeee3922eaccd8e6d5d","documents.0.url","https://drive.google.com/file/d/1pz8-hlQENUB8BHL3DRY4Da7TauBr5GK3/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebeee3922eaccd8e6d5d","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebeee3922eaccd8e6d5d","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebeee3922eaccd8e6d5d","documents.3.url","https://drive.google.com/file/d/1mDVmo6XrTfvKuXieqXfiKzQqBvvw12MK/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebefe3922eaccd8e6d65","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ebefe3922eaccd8e6d65","documents.0.url","https://drive.google.com/file/d/1dtiiREAX53TNnenalymGt90xF5QKnUhU/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebefe3922eaccd8e6d65","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebefe3922eaccd8e6d65","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebefe3922eaccd8e6d65","documents.3.url","https://drive.google.com/file/d/1R64NMzXxluj49YjhxTtaENWv1oiHovg0/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebf1e3922eaccd8e6d76","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ebf1e3922eaccd8e6d76","documents.0.url","https://drive.google.com/file/d/1w3UXMvAstcmUTY4nxLfeBjN8HwWi1LTO/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebf1e3922eaccd8e6d76","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebf1e3922eaccd8e6d76","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebf1e3922eaccd8e6d76","documents.3.url","https://drive.google.com/file/d/1Lghps1IiphdM7kGDlIfsHWC7L9CPM74f/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebf2e3922eaccd8e6d7e","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ebf2e3922eaccd8e6d7e","documents.0.url","https://drive.google.com/file/d/166dpezHdbe9E7-LpZha-nf0qJ-SqR_As/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebf2e3922eaccd8e6d7e","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebf2e3922eaccd8e6d7e","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebf2e3922eaccd8e6d7e","documents.3.url","https://drive.google.com/file/d/1Q3Oh-lT1gDLfQipw6rkjeQMTgesXw-6t/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec00e3922eaccd8e6ddc","images.main.url","https://aptghana.com/api/image/SK12_32_52_Helical inline gear block.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ec00e3922eaccd8e6ddc","documents.0.url","https://drive.google.com/file/d/1LYvSi2CdxXW7DnYPUirLGI8wAJnGaenv/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec00e3922eaccd8e6ddc","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec00e3922eaccd8e6ddc","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec00e3922eaccd8e6ddc","documents.3.url","https://drive.google.com/file/d/1p7KhwgOYO-o2vAXyV90FPs0tyI_5PRR-/view?usp=drivesdk","Non-downloadable content-type: text/html"
